中文词,原英语,LoongEnglish新词,组合拆解,说明
医,medicine / medical,med,医,医疗语义总词根
医生,doctor,med-person,医 + 生,基础职业词突出同根性
医师,physician,med-master,医 + 师,更正式更专业的职业称谓
医院,hospital,med-house,医 + 院,机构或场所类统一挂在 house 上
医术,medical skill,med-skill,医 + 术,强调技术能力手艺
医学,medicine / medical science,med-study,医 + 学,学科类统一用 study
医药,medicine and drugs / pharmaceutical,med-drug,医 + 药,偏药品与药物体系
医疗,medical care / treatment,med-care,医 + 疗,偏服务照护治疗过程
医治,treat / cure,med-treat,医 + 治,动词型表达
医护,medical and nursing care,med-guard,医 + 护,护按守护照护处理
医案,medical case,med-case,医 + 案,病例案例档案体系
医检,medical test / examination,med-check,医 + 检,检查检验类表达
医保,medical insurance / healthcare coverage,med-cover,医 + 保,保按保障覆盖处理
医保卡,health insurance card,med-cover-card,医 + 保 + 卡,三段组合示例
医书,medical text / medical book,med-book,医 + 书,文献教材读物类
医德,medical ethics,med-ethic,医 + 德,职业伦理类
医嘱,doctor's orders / medical advice,med-order,医 + 嘱,指令处置说明类
医科,medical field / medical department,med-field,医 + 科,学科科别分科基元
医学院,medical school,med-study-house,医 + 学 + 院,完整保留中文顺序
医学生,medical student,med-study-person,医 + 学 + 生,学科加人的递归组合
医用,medical-use / for medical use,med-use,医 + 用,用途标签词
医用口罩,medical mask,med-use-mask,医 + 用 + 口罩,产品命名示例
医疗器械,medical devices,med-care-tools,医 + 疗 + 器械,设备类复合词
医疗系统,healthcare system,med-care-system,医 + 疗 + 系统,系统类复合词
医药费,medical expenses,med-drug-fee,医 + 药 + 费,费用类复合词
