中文词,原英语,LoongEnglish新词,组合拆解,说明
医,medicine / medical / heal,yi,医,医疗语义总词根
医生,doctor,yi-person,医 + 生,同根词族的基础职业词
医师,physician,yi-master,医 + 师,比 yi-person 更偏专业称谓
医院,hospital,yi-house,医 + 院,统一用场所词承接机构语义
医术,medical skill,yi-skill,医 + 术,强调技术手艺能力
医学,medicine / medical science,yi-study,医 + 学,学科类统一用 study
医药,medicine and drugs / pharmaceutical,yi-drug,医 + 药,偏药物与药品体系
医疗,medical care / treatment,yi-care,医 + 疗,偏服务照护与治疗过程
医治,treat / cure,yi-treat,医 + 治,动词型表达
医护,medical and nursing care,yi-guard,医 + 护,护按守护照护处理
医案,medical case,yi-case,医 + 案,适合病例案例档案体系
医检,medical test / examination,yi-check,医 + 检,检查检验统一用 check
医保,medical insurance / healthcare coverage,yi-cover,医 + 保,保按保障覆盖处理
医保卡,health insurance card,yi-cover-card,医 + 保 + 卡,三段组合示例之一
医书,medical text / medical book,yi-book,医 + 书,文献教材读物类
医德,medical ethics,yi-ethic,医 + 德,职业伦理类
医嘱,doctor's orders / medical advice,yi-order,医 + 嘱,指令医嘱处置说明
医科,medical field / medical department,yi-field,医 + 科,学科科别分科基元
医学院,medical school,yi-study-house,医 + 学 + 院,组合顺序完整保留
医学生,medical student,yi-study-person,医 + 学 + 生,学科加人的递归组合
医用,medical-use / for medical use,yi-use,医 + 用,用途标签词
医用口罩,medical mask,yi-use-mask,医 + 用 + 口罩,产品命名示例
医疗器械,medical devices,yi-care-tools,医 + 疗 + 器械,设备类复合词
医疗系统,healthcare system,yi-care-system,医 + 疗 + 系统,系统类复合词
医药费,medical expenses,yi-drug-fee,医 + 药 + 费,费用类复合词
